id;sku;Manage stock;Stock status;Backorders;Stock;Type;Parent ID
99;100101;no;instock;no;0;simple;
96;100201;yes;instock;yes;12;simple;
93;100301;yes;instock;yes;10;variable;
139;;yes;instock;yes;100;product-variant;93
140;;yes;instock;no;30;product-variant;93
141;;yes;instock;no;30;product-variant;93
142;;yes;instock;no;0;product-variant;93
143;;yes;instock;no;0;product-variant;93
131;;yes;instock;no;0;product-variant;93
132;;yes;instock;no;0;product-variant;93
133;;yes;instock;no;0;product-variant;93
134;;yes;instock;no;0;product-variant;93
135;;yes;instock;no;0;product-variant;93
136;;yes;instock;no;0;product-variant;93
137;;yes;instock;no;0;product-variant;93
138;;yes;instock;no;0;product-variant;93
122;100304;yes;instock;no;0;product-variant;93
123;100305;yes;instock;no;0;product-variant;93
124;100306;yes;instock;no;0;product-variant;93
125;100307;yes;instock;no;0;product-variant;93
126;100308;yes;instock;no;0;product-variant;93
127;100309;yes;instock;no;0;product-variant;93
128;;yes;instock;no;0;product-variant;93
129;;yes;instock;no;0;product-variant;93
130;;yes;instock;no;0;product-variant;93
120;100302;yes;instock;yes;10;product-variant;93
121;100303;yes;instock;no;20;product-variant;93
90;;no;instock;no;0;simple;
87;;yes;instock;no;22;simple;
83;;yes;instock;yes;13;simple;
79;;no;outofstock;notify;4;simple;
76;;yes;instock;no;25;simple;
73;;yes;instock;no;33;simple;
70;;no;instock;no;24;simple;
67;;yes;instock;no;18;simple;
60;;yes;instock;no;32;simple;
56;;yes;instock;no;26;simple;
53;;yes;instock;no;22;simple;
50;;yes;instock;no;15;simple;
47;;yes;instock;no;18;simple;
40;;no;instock;no;0;variable;
41;;;;;0;product-variant;40
42;;;;;18;product-variant;40
37;;yes;instock;no;28;simple;
34;;yes;instock;no;29;simple;
31;;yes;instock;no;19;simple;
22;;no;instock;no;0;variable;
24;;;;;0;product-variant;22
23;;;;;0;product-variant;22
19;;yes;instock;no;21;simple;
15;;yes;instock;no;4;simple;
